Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,104.879997,107.040001,104.519997,106.860001,100.175278,448300
2017-04-21,106.980003,107.669998,105.800003,107.440002,100.719017,491900
2017-04-24,108.790001,109.180000,107.230003,107.839996,101.093964,497200
2017-04-25,108.650002,109.790001,108.120003,109.580002,102.725136,509700
2017-04-26,109.489998,109.930000,108.529999,109.209999,102.378258,308800
2017-04-27,109.330002,109.760002,108.349998,108.540001,101.750198,556100
2017-04-28,103.000000,106.269997,100.779999,101.389999,95.047447,1840900
2017-05-01,101.320000,102.080002,100.150002,100.980003,94.663109,1054500
2017-05-02,100.739998,100.989998,99.050003,100.610001,94.316238,1037000
2017-05-03,99.769997,101.110001,99.010002,100.779999,94.475624,659300
2017-05-04,100.620003,102.760002,100.620003,102.019997,95.638046,971300
2017-05-05,102.500000,103.559998,102.209999,103.550003,97.072350,572800
2017-05-08,103.209999,105.239998,103.209999,103.650002,97.166092,930200
2017-05-09,103.790001,103.820000,102.120003,102.389999,95.984901,639000
2017-05-10,101.879997,103.260002,101.599998,102.019997,95.966072,788200
2017-05-11,102.099998,103.620003,100.779999,102.800003,96.699799,634600
2017-05-12,102.930000,102.989998,101.489998,102.349998,96.276512,707900
2017-05-15,102.660004,103.830002,102.309998,103.050003,96.934975,563900
2017-05-16,103.580002,103.580002,102.150002,102.220001,96.154228,606200
2017-05-17,102.220001,102.220001,98.849998,100.120003,94.178841,780000
2017-05-18,99.820000,100.540001,99.400002,99.629997,93.717911,524400
2017-05-19,99.809998,100.879997,99.589996,100.410004,94.451622,547400
2017-05-22,100.480003,100.690002,99.660004,100.410004,94.451622,717500
2017-05-23,100.480003,100.529999,99.980003,100.050003,94.112999,525700
2017-05-24,100.279999,101.129997,100.089996,100.680000,94.705597,616200
2017-05-25,101.010002,101.580002,100.400002,101.300003,95.288818,344900
2017-05-26,100.900002,102.230003,100.900002,102.059998,96.003716,551200
2017-05-30,101.860001,102.639999,101.680000,101.860001,95.815582,546400
2017-05-31,101.449997,102.080002,100.739998,101.330002,95.317032,773200
2017-06-01,101.720001,102.360001,101.230003,101.820000,95.777954,1079400
2017-06-02,101.489998,101.720001,99.879997,100.470001,94.508072,1130900
2017-06-05,100.349998,101.989998,100.250000,100.839996,94.856102,631200
2017-06-06,100.489998,100.559998,99.580002,99.639999,93.727310,576100
2017-06-07,99.570000,99.809998,98.260002,98.309998,92.476227,779600
2017-06-08,98.400002,100.070000,97.720001,98.910004,93.040657,460800
2017-06-09,98.879997,99.239998,98.099998,98.839996,92.974792,529900
2017-06-12,99.150002,100.099998,98.870003,99.730003,93.811974,689100
2017-06-13,100.070000,100.070000,99.000000,99.269997,93.379288,335000
2017-06-14,98.699997,98.699997,95.739998,96.139999,90.434998,1389100
2017-06-15,95.410004,96.599998,95.410004,95.589996,89.917641,843600
2017-06-16,95.059998,95.989998,94.599998,95.879997,90.190430,1525100
2017-06-19,96.430000,96.919998,96.160004,96.650002,90.914749,897200
2017-06-20,96.239998,96.440002,95.570000,95.620003,89.945862,524200
2017-06-21,95.919998,95.919998,94.199997,94.910004,89.278000,547400
2017-06-22,94.720001,94.900002,93.769997,93.889999,88.318527,585500
2017-06-23,93.650002,94.250000,93.650002,94.160004,88.572510,941800
2017-06-26,94.339996,96.000000,94.150002,95.099998,89.456726,800300
2017-06-27,95.230003,95.360001,93.470001,93.500000,87.951660,456100
2017-06-28,94.160004,95.300003,93.720001,94.860001,89.230980,649700
2017-06-29,94.790001,95.010002,93.620003,94.080002,88.497269,596600
2017-06-30,94.599998,95.750000,94.559998,95.400002,89.738930,736800
2017-07-03,95.900002,97.629997,95.680000,96.980003,91.225189,352200
2017-07-05,96.669998,97.199997,95.889999,97.139999,91.375664,417500
2017-07-06,96.690002,97.099998,95.739998,95.830002,90.143410,407100
2017-07-07,95.989998,96.459999,95.639999,96.419998,90.698387,200800
2017-07-10,96.120003,96.660004,95.809998,96.290001,90.576118,359800
2017-07-11,96.040001,96.529999,95.660004,96.349998,90.632538,368600
2017-07-12,97.190002,98.320000,96.839996,97.930000,92.118774,531100
2017-07-13,97.919998,98.320000,96.739998,97.730003,91.930656,381600
2017-07-14,97.860001,98.639999,97.320000,97.690002,91.893044,283900
2017-07-17,97.879997,98.449997,97.000000,98.250000,92.419807,209500
2017-07-18,98.169998,98.199997,97.550003,98.029999,92.212845,263400
2017-07-19,98.269997,99.680000,98.269997,99.660004,93.746147,736100
2017-07-20,99.250000,100.379997,99.250000,99.709999,93.793152,440000
2017-07-21,99.459999,100.480003,98.879997,100.089996,94.150627,372300
2017-07-24,100.269997,100.570000,99.019997,99.820000,93.896629,636200
2017-07-25,100.230003,100.989998,99.639999,100.089996,94.150627,754100
2017-07-26,98.949997,99.779999,95.309998,97.260002,91.488571,1694400
2017-07-27,97.209999,97.839996,96.510002,97.239998,91.469734,683300
2017-07-28,97.160004,98.209999,97.139999,97.820000,92.015312,478200
2017-07-31,98.180000,98.180000,97.400002,97.589996,91.798965,667100
2017-08-01,97.730003,98.099998,97.029999,97.989998,92.175209,457700
2017-08-02,98.089996,98.580002,97.629997,98.389999,92.551498,284400
2017-08-03,98.239998,98.709999,97.500000,97.760002,91.958885,347500
2017-08-04,98.050003,98.550003,97.529999,98.370003,92.532684,266200
2017-08-07,98.269997,99.089996,97.750000,98.580002,92.730209,271900
2017-08-08,98.330002,98.900002,98.089996,98.629997,92.777245,418500
2017-08-09,98.370003,98.400002,97.370003,97.370003,91.592033,463000
2017-08-10,97.029999,97.029999,94.860001,94.919998,89.287407,588300
2017-08-11,94.500000,95.779999,94.309998,95.410004,89.748329,612100
2017-08-14,95.919998,96.820000,95.860001,96.529999,90.801872,224500
2017-08-15,96.720001,96.720001,95.239998,95.639999,89.964684,275800
2017-08-16,95.620003,97.059998,95.559998,96.099998,90.748482,378600
2017-08-17,95.339996,95.440002,93.080002,93.160004,87.972198,335100
2017-08-18,92.650002,93.379997,92.089996,92.750000,87.585022,383000
2017-08-21,92.870003,93.180000,92.389999,92.400002,87.254501,454600
2017-08-22,92.769997,93.339996,92.599998,93.150002,87.962761,411600
2017-08-23,92.489998,93.760002,92.489998,93.150002,87.962761,325900
2017-08-24,93.540001,93.779999,93.190002,93.360001,88.161049,408400
2017-08-25,93.790001,95.169998,93.790001,94.639999,89.369766,222500
2017-08-28,95.029999,95.309998,93.970001,94.239998,88.992050,317900
2017-08-29,93.680000,94.160004,93.570000,94.050003,88.812622,263800
2017-08-30,93.870003,94.709999,93.750000,94.660004,89.388657,271700
2017-08-31,94.970001,95.349998,94.570000,94.690002,89.417000,238200
2017-09-01,94.900002,95.129997,94.599998,94.720001,89.445313,251700
2017-09-05,94.769997,95.050003,93.529999,94.150002,88.907051,401700
2017-09-06,94.519997,95.309998,94.220001,95.029999,89.738037,306900
2017-09-07,94.750000,95.300003,94.500000,95.260002,89.955246,414700
2017-09-08,95.019997,96.440002,94.709999,95.959999,90.616280,375700
2017-09-11,96.519997,96.599998,94.919998,94.989998,89.700287,392000
2017-09-12,95.260002,95.650002,94.889999,95.610001,90.285736,344000
2017-09-13,95.510002,95.519997,94.709999,95.349998,90.040215,372700
2017-09-14,95.309998,96.529999,95.080002,96.489998,91.116753,579600
2017-09-15,96.449997,96.809998,95.690002,96.769997,91.381157,672900
2017-09-18,97.000000,98.379997,96.800003,98.290001,92.816528,555300
2017-09-19,98.389999,98.540001,97.300003,97.489998,92.061043,370600
2017-09-20,97.599998,98.260002,97.529999,97.970001,92.514343,222500
2017-09-21,98.230003,99.650002,97.620003,99.419998,93.883583,373800
2017-09-22,98.970001,99.849998,97.720001,98.190002,92.722084,617600
2017-09-25,98.239998,100.230003,97.610001,100.199997,94.620140,344700
2017-09-26,100.279999,100.510002,99.459999,100.099998,94.525719,400300
2017-09-27,100.620003,101.190002,100.269997,100.800003,95.186745,372700
2017-09-28,100.709999,101.169998,100.410004,100.519997,94.922340,190500
2017-09-29,100.480003,100.769997,99.940002,100.290001,94.705124,293500
2017-10-02,100.540001,103.089996,100.370003,102.150002,96.461555,501100
2017-10-03,102.379997,103.449997,101.559998,103.430000,97.670273,489400
2017-10-04,102.800003,103.540001,102.300003,103.129997,97.386986,272900
2017-10-05,103.129997,103.910004,102.879997,103.180000,97.434196,268400
2017-10-06,102.959999,103.080002,101.980003,102.739998,97.018692,548700
2017-10-09,102.790001,102.790001,101.220001,101.559998,95.904388,243900
2017-10-10,101.449997,101.650002,99.500000,99.730003,94.176331,459200
2017-10-11,99.580002,100.779999,99.540001,100.300003,94.714584,369000
2017-10-12,99.660004,99.970001,98.800003,99.150002,93.628616,426800
2017-10-13,99.320000,100.330002,99.110001,99.559998,94.015778,342900
2017-10-16,99.660004,100.209999,99.309998,99.629997,94.081863,296100
2017-10-17,99.309998,100.680000,99.309998,100.290001,94.705124,224800
2017-10-18,100.500000,101.440002,100.220001,101.169998,95.536110,305300
2017-10-19,100.760002,102.339996,100.330002,102.269997,96.574852,254600
2017-10-20,102.480003,103.870003,102.220001,103.800003,98.019676,402000
2017-10-23,103.800003,104.940002,103.699997,104.480003,98.661797,671500
2017-10-24,105.000000,106.430000,104.779999,105.620003,99.738342,556100
2017-10-25,107.000000,112.110001,107.000000,110.739998,104.573196,930100
2017-10-26,111.500000,111.669998,110.580002,111.010002,104.828178,304700
2017-10-27,111.059998,111.540001,110.570000,111.190002,104.998154,300000
2017-10-30,110.959999,111.489998,110.230003,110.489998,104.337120,238300
2017-10-31,110.190002,111.180000,109.580002,109.830002,103.713890,321100
2017-11-01,110.709999,110.709999,109.349998,109.830002,103.713890,217700
2017-11-02,109.989998,110.480003,109.410004,109.970001,103.846092,220100
2017-11-03,110.129997,110.839996,109.110001,109.730003,103.619461,262300
2017-11-06,110.000000,110.940002,110.000000,110.559998,104.403229,224100
2017-11-07,110.150002,110.800003,109.029999,110.129997,103.997185,297600
2017-11-08,110.099998,110.989998,109.629997,110.139999,104.006622,197400
2017-11-09,109.540001,109.860001,108.400002,108.989998,102.920639,231600
2017-11-10,108.809998,109.559998,108.529999,109.070000,102.996208,477200
2017-11-13,108.540001,110.610001,108.540001,109.099998,103.024529,302000
2017-11-14,108.760002,109.459999,107.779999,108.320000,102.287956,367500
2017-11-15,107.870003,108.209999,107.489998,107.889999,101.881912,413400
2017-11-16,107.430000,109.400002,106.879997,108.879997,103.170601,414400
